epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
148,193.08,0.45601,0.40465,1.00146,0.51524,0.48651,0.54465,0.31772,1.64782,2.60182,2.21179,0.000428912,0.000428912,0.000428912
149,194.347,0.4141,0.40826,0.98604,0.47105,0.50658,0.51993,0.32093,1.67789,2.47636,2.21116,0.000426163,0.000426163,0.000426163
150,195.601,0.41517,0.38499,0.98486,0.56667,0.47755,0.53579,0.31475,1.66564,2.43013,2.18437,0.000423414,0.000423414,0.000423414
151,196.851,0.4289,0.41023,0.99082,0.64068,0.47468,0.55026,0.31334,1.64693,2.44332,2.19648,0.000420665,0.000420665,0.000420665
152,198.118,0.4414,0.39332,0.98624,0.67967,0.46379,0.57223,0.32488,1.64452,2.48697,2.19357,0.000417916,0.000417916,0.000417916
153,199.362,0.46734,0.40792,1.02628,0.72903,0.45161,0.58433,0.33765,1.65769,2.56065,2.1863,0.000415167,0.000415167,0.000415167
154,200.604,0.45793,0.40549,0.99673,0.69875,0.46492,0.60111,0.34898,1.61775,2.49938,2.14123,0.000412418,0.000412418,0.000412418
155,201.861,0.45945,0.40272,1.00704,0.61132,0.53265,0.59705,0.36133,1.5965,2.51387,2.13532,0.000409669,0.000409669,0.000409669
156,203.095,0.45105,0.38523,1.00681,0.63975,0.50862,0.57579,0.33574,1.56481,2.55807,2.16074,0.00040692,0.00040692,0.00040692
157,204.357,0.38939,0.34571,0.95739,0.58613,0.48052,0.54822,0.3071,1.62258,2.58097,2.20516,0.000404172,0.000404172,0.000404172
158,205.614,0.43848,0.38074,0.98071,0.64474,0.46671,0.51623,0.32277,1.59932,2.648,2.16267,0.000401423,0.000401423,0.000401423
159,206.906,0.41775,0.38068,1.01137,0.58938,0.48204,0.5017,0.31314,1.58833,2.71477,2.12324,0.000398674,0.000398674,0.000398674
